Date,close_fox,close_tko
2020-08-06,25.16,45.42
2020-08-07,24.89,43.7
2020-08-10,24.68,44.09
2020-08-11,24.94,45.41
2020-08-12,25.21,45.51
2020-08-13,25.69,45.83
2020-08-14,25.82,45.37
2020-08-17,25.71,44.89
2020-08-18,25.74,44.77
2020-08-19,25.92,44.68
2020-08-20,25.92,44.03
2020-08-21,26.01,42.73
2020-08-24,27.05,44.98
2020-08-25,26.96,44.5
2020-08-26,27.15,45.46
2020-08-27,27.64,45.14
2020-08-28,27.92,44.92
2020-08-31,27.8,44.07
2020-09-01,27.49,43.53
2020-09-02,27.99,44.36
2020-09-03,27.51,42.52
2020-09-04,27.76,43.08
2020-09-08,27.84,42.72
2020-09-09,28.29,42.26
2020-09-10,28.15,42.46
2020-09-11,28.14,41.4
2020-09-14,28.7,41.12
2020-09-15,28.64,41.15
2020-09-16,29.46,41.08
2020-09-17,28.77,40.73
2020-09-18,28.0,40.16
2020-09-21,26.89,39.36
2020-09-22,26.95,39.21
2020-09-23,25.98,38.35
2020-09-24,26.22,38.82
2020-09-25,26.78,39.15
2020-09-28,27.9,39.87
2020-09-29,27.82,40.03
2020-09-30,27.97,40.47
2020-10-01,28.21,40.37
2020-10-02,28.17,40.16
2020-10-05,28.89,39.22
2020-10-06,28.12,39.76
2020-10-07,29.11,40.08
2020-10-08,29.63,39.85
2020-10-09,29.2,40.16
2020-10-12,29.13,40.08
2020-10-13,27.47,40.57
2020-10-14,27.13,41.65
2020-10-15,27.2,40.96
2020-10-16,27.12,39.78
2020-10-19,26.25,38.65
2020-10-20,26.18,38.71
2020-10-21,26.75,38.99
2020-10-22,27.41,38.6
2020-10-23,26.93,38.28
2020-10-26,26.18,37.65
2020-10-27,26.0,37.48
2020-10-28,25.02,36.65
2020-10-29,25.39,37.33
2020-10-30,26.14,36.36
2020-11-02,26.89,38.41
2020-11-03,26.7,38.5
2020-11-04,25.43,39.1
2020-11-05,26.37,37.78
2020-11-06,25.6,38.92
2020-11-09,26.19,40.23
2020-11-10,26.7,40.53
2020-11-11,27.15,41.11
2020-11-12,25.45,40.3
2020-11-13,26.21,40.88
2020-11-16,26.75,42.26
2020-11-17,27.65,42.23
2020-11-18,27.13,41.47
2020-11-19,27.27,41.95
2020-11-20,27.44,40.97
2020-11-23,28.04,41.3
2020-11-24,29.21,42.03
2020-11-25,28.96,41.97
2020-11-27,28.73,41.8
2020-11-30,28.38,43.04
2020-12-01,29.7,44.86
2020-12-02,30.05,44.48
2020-12-03,29.77,44.12
2020-12-04,29.25,44.97
2020-12-07,29.31,44.3
2020-12-08,28.9,43.77
2020-12-09,28.73,43.82
2020-12-10,28.68,44.44
2020-12-11,28.72,44.25
2020-12-14,28.34,44.61
2020-12-15,28.21,45.68
2020-12-16,28.11,45.53
2020-12-17,28.16,47.49
2020-12-18,27.79,46.43
2020-12-21,27.39,46.19
2020-12-22,26.98,47.14
2020-12-23,27.75,47.76
2020-12-24,28.0,47.32
2020-12-28,28.88,47.92
2020-12-29,28.78,48.17
2020-12-30,28.7,48.38
