Date,Close
2021-03-30,55.95
2021-03-31,54.26
2021-04-01,55.59
2021-04-05,55.49
2021-04-06,56.05
2021-04-07,56.5
2021-04-08,56.09
2021-04-09,58.36
2021-04-12,56.8
2021-04-13,56.35
2021-04-14,56.23
2021-04-15,56.74
2021-04-16,56.36
2021-04-19,56.74
2021-04-20,56.58
2021-04-21,56.94
2021-04-22,56.22
2021-04-23,54.23
2021-04-26,55.62
2021-04-27,55.75
2021-04-28,55.55
2021-04-29,55.68
2021-04-30,55.11
2021-05-03,55.89
2021-05-04,54.34
2021-05-05,54.21
2021-05-06,54.96
2021-05-07,54.87
2021-05-10,54.59
2021-05-11,54.05
2021-05-12,52.81
2021-05-13,52.81
2021-05-14,53.69
2021-05-17,53.9
2021-05-18,52.97
2021-05-19,52.69
2021-05-20,54.63
2021-05-21,57.55
2021-05-24,57.92
2021-05-25,57.28
2021-05-26,56.88
2021-05-27,56.67
2021-05-28,55.84
2021-06-01,55.66
2021-06-02,56.01
2021-06-03,56.77
2021-06-04,56.83
2021-06-07,56.29
2021-06-08,58.15
2021-06-09,64.48
2021-06-10,64.88
2021-06-11,62.55
2021-06-14,63.44
2021-06-15,61.69
2021-06-16,59.73
2021-06-17,58.78
2021-06-18,57.83
2021-06-21,57.78
2021-06-22,59.16
2021-06-23,58.6
2021-06-24,58.79
2021-06-25,59.94
2021-06-28,59.01
2021-06-29,57.96
2021-06-30,57.89
2021-07-01,58.36
2021-07-02,57.76
2021-07-06,56.47
2021-07-07,56.3
2021-07-08,55.72
2021-07-09,56.34
2021-07-12,55.9
2021-07-13,55.63
2021-07-14,55.33
2021-07-15,51.47
2021-07-16,50.56
2021-07-19,49.03
2021-07-20,48.68
2021-07-21,49.59
2021-07-22,49.61
2021-07-23,49.02
2021-07-26,49.61
2021-07-27,49.2
2021-07-28,49.19
2021-07-29,48.1
2021-07-30,49.38
2021-08-02,49.15
2021-08-03,48.66
2021-08-04,48.59
2021-08-05,50.1
2021-08-06,50.33
2021-08-09,49.76
2021-08-10,50.24
2021-08-11,50.68
2021-08-12,50.47
2021-08-13,50.26
2021-08-16,49.8
2021-08-17,48.95
2021-08-18,47.94
2021-08-19,47.25
2021-08-20,48.51
2021-08-23,49.05
2021-08-24,50.02
2021-08-25,50.21
2021-08-26,51.34
2021-08-27,52.0
2021-08-30,51.93
2021-08-31,52.11
2021-09-01,52.35
2021-09-02,52.59
2021-09-03,52.0
2021-09-07,50.91
2021-09-08,50.55
2021-09-09,50.08
2021-09-10,51.91
2021-09-13,53.98
2021-09-14,54.02
2021-09-15,55.08
2021-09-16,55.0
2021-09-17,55.09
2021-09-20,54.77
2021-09-21,55.71
2021-09-22,55.38
2021-09-23,55.78
2021-09-24,55.96
2021-09-27,56.03
2021-09-28,55.59
2021-09-29,56.09
2021-09-30,56.26
2021-10-01,57.65
2021-10-04,57.58
2021-10-05,57.94
2021-10-06,58.28
2021-10-07,58.24
2021-10-08,58.82
2021-10-11,58.28
2021-10-12,59.22
2021-10-13,58.88
2021-10-14,59.48
2021-10-15,59.49
2021-10-18,59.7
2021-10-19,59.97
2021-10-20,60.27
2021-10-21,60.24
2021-10-22,60.05
2021-10-25,60.29
2021-10-26,60.58
2021-10-27,59.86
2021-10-28,61.27
2021-10-29,61.09
2021-11-01,61.82
2021-11-02,61.79
2021-11-03,60.94
2021-11-04,60.34
2021-11-05,58.66
2021-11-08,59.03
2021-11-09,56.79
2021-11-10,55.29
2021-11-11,55.78
2021-11-12,55.91
2021-11-15,56.15
2021-11-16,56.23
2021-11-17,53.88
2021-11-18,53.33
2021-11-19,52.66
2021-11-22,51.2
2021-11-23,52.5
2021-11-24,53.08
2021-11-26,51.37
2021-11-29,50.8
2021-11-30,49.36
2021-12-01,47.71
2021-12-02,49.13
2021-12-03,49.42
2021-12-06,49.34
2021-12-07,49.76
2021-12-08,49.76
2021-12-09,48.71
2021-12-10,49.12
2021-12-13,48.12
2021-12-14,47.54
2021-12-15,48.26
2021-12-16,47.6
2021-12-17,48.16
2021-12-20,47.78
2021-12-21,47.59
2021-12-22,47.75
2021-12-23,48.36
2021-12-27,48.69
2021-12-28,48.97
2021-12-29,49.51
2021-12-30,48.98
2021-12-31,49.34
2022-01-03,49.86
2022-01-04,50.52
2022-01-05,48.67
2022-01-06,49.02
2022-01-07,50.02
2022-01-10,51.16
2022-01-11,51.54
2022-01-12,51.12
2022-01-13,52.38
2022-01-14,53.17
2022-01-18,52.45
2022-01-19,51.42
2022-01-20,50.5
2022-01-21,49.65
2022-01-24,50.0
2022-01-25,49.05
2022-01-26,48.55
2022-01-27,48.83
2022-01-28,48.7
2022-01-31,49.94
2022-02-01,49.97
2022-02-02,49.42
2022-02-03,47.81
2022-02-04,51.71
2022-02-07,52.58
2022-02-08,52.74
2022-02-09,54.97
2022-02-10,55.33
2022-02-11,55.7
2022-02-14,56.04
2022-02-15,58.29
2022-02-16,57.45
2022-02-17,58.63
2022-02-18,58.55
2022-02-22,57.79
2022-02-23,57.58
2022-02-24,58.29
2022-02-25,58.6
2022-02-28,59.26
2022-03-01,59.35
2022-03-02,60.48
2022-03-03,59.72
2022-03-04,58.69
2022-03-07,57.53
2022-03-08,56.69
2022-03-09,56.53
2022-03-10,57.08
2022-03-11,56.6
2022-03-14,55.96
2022-03-15,55.96
2022-03-16,58.23
2022-03-17,58.84
2022-03-18,59.75
2022-03-21,59.59
2022-03-22,60.82
2022-03-23,61.38
2022-03-24,61.43
2022-03-25,61.06
2022-03-28,61.0
2022-03-29,63.1
2022-03-30,62.38
2022-03-31,62.44
2022-04-01,62.41
2022-04-04,62.94
2022-04-05,62.42
2022-04-06,61.78
2022-04-07,61.76
2022-04-08,61.49
